id,label
10.1007/978-3-642-36763-2_11,The Approximate Rectangle of Influence Drawability Problem
10.1007/978-3-642-36763-2_16,Planar Graphs as VPG-Graphs
10.1007/978-3-642-36763-2_17,On Representing Graphs by Touching Cuboids
10.1007/978-3-642-36763-2_14,Smooth Orthogonal Layouts
10.1007/978-3-642-36763-2_15,Toward a Theory of Planarity: Hanani-Tutte and Planarity Variants
10.1007/3-540-63938-1_62,Pitfalls of using PQ-trees in automatic graph drawing
10.1007/3-540-63938-1_63,Graph drawing with no k pairwise crossing edges
10.1007/3-540-63938-1_60,An algorithm for labeling edges of hierarchical drawings
10.1007/3-540-63938-1_61,Elastic labels: The two-axis case
10.1007/3-540-63938-1_68,Implementing a general-purpose edge router
10.1007/978-3-642-36763-2_29,On the Density of Maximal 1-Planar Graphs
10.1007/3-540-63938-1_69,The wobbly logic engine: Proving hardness of non-rigid geometric graph representation problems
10.1007/3-540-63938-1_66,A bayesian paradigm for dynamic graph layout
10.1007/3-540-63938-1_67,Which aesthetic has the greatest effect on human understanding?
10.1007/3-540-63938-1_64,Area requirements for drawing hierarchically planar graphs
10.1007/3-540-63938-1_65,A short proof of a Gauss problem
10.1007/978-3-642-36763-2_23,Self-approaching Graphs
10.1007/978-3-642-36763-2_24,Homotopic \mathcal{C}-Oriented Routing
10.1007/978-3-642-36763-2_21,Column-Based Graph Layouts
10.1007/978-3-642-36763-2_22,Upward Planarity Testing via SAT
10.1007/978-3-642-36763-2_27,Covering Paths for Planar Point Sets
10.1007/978-3-642-36763-2_28,Grid Drawings and the Chromatic Number
10.1007/978-3-642-36763-2_25,Kinetic and Stationary Point-Set Embeddability for Plane Graphs
10.1007/978-3-642-36763-2_26,Point-Set Embeddability of 2-Colored Trees
10.1007/978-3-642-36763-2_20,Edge-Weighted Contact Representations of Planar Graphs
10.1007/3-540-63938-1_84,The three-phase method: A unified approach to orthogonal graph drawing
10.1007/3-540-63938-1_85,NicheWorks 〞 Interactive visualization of very large graphs
10.1007/3-540-63938-1_82,Minimum-area h-v drawings of complete binary trees
10.1007/3-540-63938-1_83,Packing trees into planar graphs
10.1007/3-540-63938-1_80,Touching graphs of unit balls
10.1007/3-540-63938-1_81,Discrete realizations of contact and intersection graphs (extended abstract)
10.1007/3-540-63938-1_88,Graph-drawing contest report
10.1007/3-540-63938-1_86,Extending the Sugiyama algorithm for drawing UML class diagrams: Towards automatic layout of object-oriented software diagrams
10.1007/3-540-63938-1_87,Graph drawing and manipulation with LINK
10.1007/978-3-540-24595-7_31,Fixed Parameter Algorithms for one-sided crossing minimization Revisited
10.1007/978-3-540-24595-7_30,Intersection-Free Morphing of Planar Graphs
10.1007/978-3-540-24595-7_35,Layout of Directed Hypergraphs with Orthogonal Hyperedges
10.1007/978-3-540-24595-7_34,Convex Drawing for c-Planar Biconnected Clustered Graphs
10.1007/978-3-540-24595-7_33,Characterizing Families of Cuts That Can Be Represented by Axis-Parallel Rectangles
10.1007/978-3-540-24595-7_32,Experiments with the Fixed-Parameter Approach for Two-Layer Planarization
10.1007/978-3-540-24595-7_39,Straight-Line Drawings of 2-Outerplanar Graphs on Two Curves
10.1007/978-3-540-24595-7_38,An Improved Approximation to the One-Sided Bilayer Drawing
10.1007/978-3-540-24595-7_37,Radial Level Planarity Testing and Embedding in Linear Time
10.1007/978-3-540-24595-7_36,No-Bend Orthogonal Drawings of Subdivisions of Planar Triconnected Cubic Graphs
10.1007/978-3-540-24595-7_20,Track Drawings of Graphs with Constant Queue Number
10.1007/978-3-540-24595-7_24,Graph Embedding with Minimum Depth and Maximum External Face
10.1007/978-3-540-24595-7_23,Nearly Optimal Three Dimensional Layout of Hypercube Networks
10.1007/978-3-540-24595-7_22,Drawing Series-Parallel Graphs on Restricted Integer 3D Grids
10.1007/978-3-540-24595-7_21,3D Visibility Representations of Complete Graphs
10.1007/978-3-540-24595-7_28,GraphEx: An Improved Graph Translation Service
10.1007/978-3-540-24595-7_27,BGPlay: A System for Visualizing the Interdomain Routing Evolution
10.1007/978-3-540-24595-7_26,Planar Embeddings of Graphs with Specified Edge Lengths
10.1007/978-3-540-24595-7_25,More Efficient Generation of Plane Triangulations
10.1007/978-3-540-24595-7_29,"A Constrained, Force-Directed Layout Algorithm for Biological Pathways"
10.1007/11618058_11,How to Embed a Path onto Two Sets of Points
10.1007/3-540-44541-2_7,On Polar Visibility Representations of Graphs
10.1007/11618058_10,Volume Requirements of 3D Upward Drawings
10.1007/3-540-44541-2_6,GraphXML 〞 An XML-Based Graph Description Format
10.1007/3-540-44541-2_5,An Experimental Comparison of Orthogonal Compaction Algorithms
10.1007/3-540-44541-2_4,"Interactive Partitioning System Demonstration, Short"
10.1007/978-3-540-24595-7_53,Engineering and Visualizing Algorithms
10.1007/3-540-44541-2_3,A User Study in Similarity Measures for Graph Drawing
10.1007/978-3-540-24595-7_52,Graph Drawing Contest Report
10.1007/3-540-44541-2_2,User Pcites of Graph Layout Aesthetics: A UML Study
10.1007/978-3-540-24595-7_51,Visual Data Mining with ILOG Discovery
10.1007/3-540-44541-2_1,The Visual Representation of Information Structures
10.1007/978-3-540-24595-7_50,The Puzzle Layout Problem
10.1007/978-3-540-24595-7_55,Selected Open Problems in Graph Drawing
10.1007/978-3-540-24595-7_54,"Report on the Invited Lecture by Pat Hanrahan, Titled ※On Being in the Right Space§"
10.1007/11618058_19,Two Trees Which Are Self每intersecting When Drawn Simultaneously
10.1007/11618058_18,A Hybrid Model for Drawing Dynamic and Evolving Graphs
10.1007/11618058_17,"Transversal Structures on Triangulations, with Application to Straight-Line Drawing"
10.1007/11618058_16,Delta-Confluent Drawings
10.1007/11618058_15,Fast Node Overlap Removal
10.1007/11618058_14,Stress Majorization with Orthogonal Ordering Constraints
10.1007/11618058_13,Graph Treewidth and Geometric Thickness Parameters
10.1007/11618058_12,Upward Spirality and Upward Planarity Testing
10.1007/11618058_22,An Experimental Comparison of Fast Algorithms for Drawing General Large Graphs
10.1007/11618058_21,Non-planar Core Reduction of Graphs
10.1007/11618058_20,C-Planarity of Extrovert Clustered Graphs
10.1007/978-3-540-24595-7_42,Axis-by-Axis Stress Minimization
10.1007/978-3-540-24595-7_41,Simultaneous Graph Drawing: Layout Algorithms and Visualization Schemes
10.1007/978-3-540-24595-7_40,An Energy Model for Visual Graph Clustering
10.1007/978-3-540-24595-7_46,Degree Navigator TM : The Journey of a Visualization Software
10.1007/978-3-540-24595-7_45,Optimal Pants Decompositions and Shortest Homotopic Cycles on an Orientable Surface
10.1007/978-3-540-24595-7_44,Drawing Area-Proportional Venn and Euler Diagrams
10.1007/978-3-540-24595-7_43,Drawing Graphs with Nonuniform Nodes Using Potential Fields
10.1007/978-3-540-24595-7_49,Web-Linkage Viewer: Drawing Links in the Web Based on a Site-Oriented Framework
10.1007/978-3-540-24595-7_48,GLuskap: Visualization and Manipulation of Graph Drawings in 3-Dimensions
10.1007/978-3-540-24595-7_47,HexGraph: Applying Graph Drawing Algorithms to the Game of Hex
10.1007/3-540-58950-3_398,Map generalization as a graph drawing problem
10.1007/3-540-58950-3_399,A geometrical heuristic for drawing concept lattices
10.1007/3-540-58950-3_396,Encoding presentation emphasis algorithms for graphs
10.1007/3-540-58950-3_397,A practical approach to static node positioning
10.1007/3-540-58950-3_390,Recognizing rectangle of influence drawable graphs (extended abstract)
10.1007/3-540-58950-3_391,A simple and unified method for drawing graphs: Magnetic-spring algorithm
10.1007/11618058_29,A Mixed-Integer Program for Drawing High-Quality Metro Maps
10.1007/11618058_28,Energy-Based Clustering of Graphs with Nonuniform Degrees
10.1007/11618058_27,Convex Drawings of Plane Graphs of Minimum Outer Apices
10.1007/3-540-58950-3_394,Drawing graphs by example efficiently: Trees and planar acyclic digraphs (extended abstract)
10.1007/11618058_26,On Balloon Drawings of Rooted Trees
10.1007/3-540-58950-3_395,Designing graph drawings by layout graph grammars
10.1007/11618058_25,On Edges Crossing Few Other Edges in Simple Topological Complete Graphs
10.1007/3-540-58950-3_392,Integration of declarative and algorithmic approaches for layout creation
10.1007/11618058_24,Layout Effects on Sociogram Perception
10.1007/3-540-44541-2_9,Labeling Points with Rectangles of Various Shapes
10.1007/3-540-58950-3_393,A fast adaptive layout algorithm for undirected graphs (extended abstract and system demonstration)
10.1007/11618058_23,Hierarchical Layouts of Directed Graphs in Three Dimensions
10.1007/3-540-44541-2_8,A Linear Time Implementation of SPQR-Trees
10.1007/978-3-642-00219-9_7,Unimaximal Sequences of Pairs in Rectangle Visibility Drawing
10.1007/978-3-540-70904-6_13,Drawing Cubic Graphs with at Most Five Slopes
10.1007/978-3-642-00219-9_8,Visibility Representations of Four-Connected Plane Graphs with Near Optimal Heights
10.1007/978-3-540-70904-6_12,Embedding Graphs Simultaneously with Fixed Edges
10.1007/978-3-642-00219-9_5,Crossing and Weighted Crossing Number of Near-Planar Graphs
10.1007/978-3-540-70904-6_11,Simultaneous Graph Embedding with Bends and Circular Arcs
10.1007/978-3-642-00219-9_6,Cubic Graphs Have Bounded Slope Parameter
10.1007/978-3-540-70904-6_10,Three-Dimensional Drawings of Bounded Degree Trees
10.1007/978-3-642-00219-9_3,Succinct Greedy Graph Drawing in the Hyperbolic Plane
10.1007/978-3-642-00219-9_4,An Algorithm to Construct Greedy Drawings of Triangulations
10.1007/978-3-642-00219-9_1,"Networks in Biology 每 From Identification, Analysis to Interpretation"
10.1007/978-3-642-00219-9_2,Graph Drawing for Security Visualization
10.1007/3-540-36151-0_3,"Graphs, They Are Changing"
10.1007/978-3-319-03841-4_20,"Simultaneous Embedding: Edge Orderings, Relative Positions, Cutvertices"
10.1007/3-540-36151-0_2,Maintaining the Mental Map for Circular Drawings
10.1007/3-540-36151-0_5,Path-Width and Three-Dimensional Straight-Line Grid Drawings of Graphs
10.1007/978-3-319-03841-4_22,Many-to-One Boundary Labeling with Backbones
10.1007/978-3-540-70904-6_19,How Important Is the ※Mental Map§? 每 An Empirical Investigation of a Dynamic Graph Layout Algorithm
10.1007/3-540-36151-0_4,Drawing Graphs on Two and Three Lines
10.1007/978-3-319-03841-4_21,Sketched Graph Drawing: A Lesson in Empirical Studies
10.1007/978-3-540-70904-6_18,On the Decay of Crossing Numbers
10.1007/3-540-36151-0_7,Computing Labeled Orthogonal Drawings
10.1007/978-3-540-70904-6_17,On the Crossing Number of Almost Planar Graphs
10.1007/3-540-36151-0_6,Drawing Outer-Planar Graphs in O(n log n )Area
10.1007/978-3-540-70904-6_16,Planar Decompositions and the Crossing Number of Graphs with an Excluded Minor
10.1007/3-540-36151-0_9,A Group-Theoretic Method for Drawing Graphs Symmetrically
10.1007/978-3-540-70904-6_15,Open Rectangle-of-Influence Drawings of Inner Triangulated Plane Graphs
10.1007/3-540-36151-0_8,Computing and Drawing Isomorphic Subgraphs
10.1007/978-3-540-70904-6_14,Planarity Testing and Optimal Edge Insertion with Embedding Constraints
10.1007/978-3-319-03841-4_16,A Duality Transform for Constructing Small Grid Embeddings of 3D Polytopes
10.1007/978-3-319-03841-4_19,Superpatterns and Universal Point Sets
10.1007/978-3-319-03841-4_18,Exploiting Air-Pressure to Map Floorplans on Point Sets
10.1007/978-3-319-03841-4_13,On Balanced -Contact Representations
10.1007/978-3-319-03841-4_12,Extending Partial Representations of Circle Graphs
10.1007/3-540-36151-0_1,Sketch-Driven Orthogonal Graph Drawing
10.1007/978-3-319-03841-4_15,Achieving Good Angular Resolution in 3D Arc Diagrams
10.1007/978-3-319-03841-4_14,Strongly-Connected Outerplanar Graphs with Proper Touching Triangle Representations
10.1007/978-3-540-77537-9_10,Minimum Level Nonplanar Patterns for Trees
10.1007/978-3-540-77537-9_11,Straight-Line Orthogonal Drawings of Binary and Ternary Trees
10.1007/978-3-540-77537-9_12,Polynomial Area Bounds for MST Embeddings of Trees
10.1007/978-3-540-77537-9_13,Moving Vertices to Make Drawings Plane
10.1007/978-3-642-00219-9_52,Graph Drawing Contest Report
10.1007/978-3-319-03841-4_31,Strict Confluent Drawing
10.1007/978-3-319-03841-4_30,Fixed Parameter Tractability of Crossing Minimization of Almost-Trees
10.1007/978-3-642-00219-9_50,DAGmap View
10.1007/978-3-319-03841-4_33,Minimum Length Embedding of Planar Graphs at Fixed Vertex Locations
10.1007/978-3-642-00219-9_51,Brain Network Analyzer
10.1007/978-3-319-03841-4_28,Drawing Planar Graphs with a Prescribed Inner Face
10.1007/978-3-319-03841-4_27,Exploring Complex Drawings via Edge Stratification
10.1007/978-3-319-03841-4_29,"Metro-Line Crossing Minimization: Hardness, Approximations, and Tractable Cases"
10.1007/978-3-319-03841-4_24,COAST: A Convex Optimization Approach to Stress-Based Embedding
10.1007/978-3-319-03841-4_23,Streamed Graph Drawing and the File Maintenance Problem
10.1007/978-3-319-03841-4_26,Drawing Non-Planar Graphs with Crossing-Free Subgraphs
10.1007/978-3-319-03841-4_25,Colored Spanning Graphs for Set Visualization
10.1007/978-3-642-00219-9_9,The Topology of Bendless Three-Dimensional Orthogonal Graph Drawing
10.1007/978-3-540-70904-6_35,Characterization of Unlabeled Level Planar Trees
10.1007/978-3-540-70904-6_34,Radial Drawings of Graphs: Geometric Constraints and Trade-Offs
10.1007/978-3-540-70904-6_33,A New Approximation Algorithm for Bend Minimization in the Kandinsky Model
10.1007/978-3-540-70904-6_32,Thickness of Bar 1-Visibility Graphs
10.1007/978-3-540-70904-6_31,k-Colored Point-Set Embeddability of Outerplanar Graphs
10.1007/978-3-540-70904-6_30,Morphing Planar Graphs in Spherical Space
10.1007/3-540-44541-2_19,"FADE: Graph Drawing, Clustering, and Visual Abstraction"
10.1007/978-3-319-03841-4_42,Drawing Permutations with Few Corners
10.1007/978-3-319-03841-4_41,Untangling Two Systems of Noncrossing Curves
10.1007/978-3-319-03841-4_44,Graph Drawing Contest Report
10.1007/978-3-319-03841-4_43,Dynamic Traceroute Visualization at Multiple Abstraction Levels
10.1007/978-3-540-70904-6_39,Biclique Edge Cover Graphs and Confluent Drawings
10.1007/978-3-540-70904-6_38,Controllable and Progressive Edge Clustering for Large Networks
10.1007/978-3-319-03841-4_40,"Using ILP/SAT to Determine Pathwidth, Visibility Representations, and other Grid-Based Graph Drawings"
10.1007/978-3-540-70904-6_37,Improved Circular Layouts
10.1007/978-3-540-70904-6_36,Drawing Bipartite Graphs on Two Curves
10.1007/3-540-44541-2_22,A Fast Layout Algorithm for k-Level Graphs
10.1007/978-3-319-03841-4_39,Incremental Grid-Like Layout Using Soft and Hard Constraints
10.1007/3-540-44541-2_23,Graph Layout for Displaying Data Structures
10.1007/978-3-319-03841-4_38,"Drawing Arrangement Graphs in Small Grids, or How to Play Planarity"
10.1007/3-540-44541-2_24,k-Layer Straightline Crossing Minimization by Speeding Up Sifting
10.1007/3-540-44541-2_25,Lower Bounds for the Number of Bends in Three-Dimensional Orthogonal Graph Drawings
10.1007/3-540-44541-2_26,Orthogonal Drawings of Cycles in 3D Space
10.1007/978-3-319-03841-4_35,On Orthogonally Convex Drawings of Plane Graphs
10.1007/3-540-44541-2_27,Three-Dimensional Orthogonal Graph Drawing with Optimal Volume
10.1007/978-3-319-03841-4_34,Stub Bundling and Confluent Spirals for Geographic Networks
10.1007/3-540-44541-2_28,A Linear-Time Algorithm for Bend-Optimal Orthogonal Drawings of Biconnected Cubic Plane Graphs
10.1007/978-3-319-03841-4_37,Slanted Orthogonal Drawings
10.1007/3-540-44541-2_29,Refinement of Three-Dimensional Orthogonal Graph Drawings
10.1007/978-3-319-03841-4_36,Planar and Plane Slope Number of Partial 2-Trees
10.1007/3-540-44541-2_20,A Multi-dimensional Approach to Force-Directed Layouts of Large Graphs
10.1007/3-540-44541-2_21,GRIP: Graph dRawing with Intelligent Placement
10.1007/978-3-540-70904-6_24,Visualizing Large and Clustered Networks
10.1007/978-3-540-70904-6_23,Straight-Line Drawing of Quadrangulations
10.1007/978-3-540-70904-6_22,Parameterized st-Orientations of Graphs: Algorithms and Experiments
10.1007/978-3-540-70904-6_21,Chordal Graphs as Intersection Graphs of Pseudosegments
10.1007/978-3-540-70904-6_20,Computing Geometric Minimum-Dilation Graphs Is NP-Hard
10.1007/978-3-540-70904-6_29,Choosing Colors for Geometric Graphs Via Color Space Embeddings
10.1007/978-3-540-70904-6_28,Upright-Quad Drawing of st-Planar Learning Spaces
10.1007/978-3-540-70904-6_27,Minimizing Intra-edge Crossings in Wiring Diagrams and Public Transportation Maps
10.1007/978-3-540-70904-6_26,Path Simplification for Metro Map Layout
10.1007/978-3-540-70904-6_25,Partitioned Drawings
10.1007/3-540-44541-2_34,An Algorithm for Finding Three Dimensional Symmetry in Trees
10.1007/3-540-44541-2_35,On Maximum Symmetric Subgraphs
10.1007/3-540-44541-2_36,Clan-Based Incremental Drawing
10.1007/3-540-44541-2_37,The Marey Graph Animation Tool Demo
10.1007/3-540-44541-2_38,Graph Data Format Workshop Report
10.1007/3-540-44541-2_39,Graph-Drawing Contest Report
10.1007/978-3-540-70904-6_2,The Algorithmic Beauty of Digital Nature
10.1007/3-540-44541-2_30,肋-Searchlight Obedient Graph Drawings
10.1007/978-3-540-70904-6_1,The Number of Triangulations on Planar Point Sets
10.1007/3-540-44541-2_31,Unavoidable Configurations in Complete Topological Graphs
10.1007/978-3-540-70904-6_4,Multipole-Based Force Approximation Revisited 每 A Simple but Fast Implementation Using a Dynamized Enclosing-Circle-Enhanced k-d-Tree
10.1007/3-540-44541-2_32,Minimum Weight Drawings of Maximal Triangulations
10.1007/978-3-540-70904-6_3,Integrating Edge Routing into Force-Directed Layout
10.1007/978-3-540-31843-9_52,Gravisto: Graph Visualization Toolkit
10.1007/978-3-540-31843-9_53,DNA Secondary Structures for Probe Design
10.1007/978-3-540-31843-9_50,The Metro Map Layout Problem
10.1007/978-3-540-31843-9_51,An Interactive Multi-user System for Simultaneous Graph Drawing
10.1007/978-3-540-31843-9_56,Graph-Drawing Contest Report
10.1007/978-3-540-31843-9_57,"Fast Algorithms for Hard Graph Problems: Bidimensionality, Minors, and Local Treewidth"
10.1007/978-3-540-31843-9_54,Open Problems Wiki
10.1007/978-3-540-31843-9_55,Visualization and ILOG CPLEX
10.1007/978-3-540-31843-9_49,Visualisation of Large and Complex Networks Using PolyPlane
10.1007/978-3-540-31843-9_47,Graphael: A System for Generalized Force-Directed Layouts
10.1007/978-3-540-31843-9_48,QUOGGLES: Query On Graphs 每 A Graphical Largely Extensible System
10.1007/978-3-540-31843-9_30,Building Blocks of Upward Planar Digraphs
10.1007/978-3-662-45803-7_2,"Picking Planar Edges. or, Drawing a Graph with a Planar Subgraph"
10.1007/978-3-540-31843-9_31,A Linear Time Algorithm for Constructing Maximally Symmetric Straight-Line Drawings of Planar Graphs
10.1007/978-3-662-45803-7_1,Planar Induced Subgraphs of Sparse Graphs
10.1007/978-3-662-45803-7_4,Drawing Simultaneously Embedded Graphs with Few Bends
10.1007/978-3-662-45803-7_3,Drawing Partially Embedded and Simultaneously Planar Graphs
10.1007/978-3-540-31843-9_34,Long Alternating Paths in Bicolored Point Sets
10.1007/978-3-540-31843-9_35,Intersection Reverse Sequences and Geometric Applications
10.1007/978-3-540-31843-9_32,Train Tracks and Confluent Drawings
10.1007/978-3-540-31843-9_33,The Three Dimensional Logic Engine
10.1007/978-3-540-24595-7_2,An Experimental Study of Crossing Minimization Heuristics
10.1007/978-3-540-24595-7_1,Confluent Drawings: Visualizing Non-planar Diagrams in a Planar Way
10.1007/978-3-662-45803-7_9,Untangling Hairballs
10.1007/978-3-540-24595-7_4,Bounds and Methods for k-Planar Crossing Numbers
10.1007/978-3-540-24595-7_3,Stop Minding Your P＊s and Q＊s: Implementing a Fast and Simple DFS-Based Planarity Testing and Embedding Algorithm
10.1007/978-3-540-24595-7_6,Two Results on Intersection Graphs of Polygons
10.1007/978-3-662-45803-7_6,Simultaneous Embeddability of Two Partitions
10.1007/978-3-540-24595-7_5,How Many Ways Can One Draw a Graph?
10.1007/978-3-662-45803-7_5,Planar and Quasi Planar Simultaneous Geometric Embedding
10.1007/978-3-540-24595-7_8,Noncrossing Hamiltonian Paths in Geometric Graphs
10.1007/978-3-662-45803-7_8,A Coloring Algorithm for Disambiguating Graph and Map Drawings
10.1007/978-3-540-24595-7_7,Stretching of Jordan Arc Contact Systems
10.1007/978-3-662-45803-7_7,Luatodonotes: Boundary Labeling for Annotations in Texts
10.1007/978-3-540-24595-7_9,GraphAEL: Graph Animations with Evolving Layouts
10.1007/978-3-540-31843-9_27,Hamiltonian-with-Handles Graphs and the k-Spine Drawability Problem
10.1007/978-3-540-31843-9_28,Distributed Graph Layout for Sensor Networks
10.1007/978-3-540-31843-9_25,Graph Drawing by Stress Majorization
10.1007/978-3-540-31843-9_26,Computing Radial Drawings on the Minimum Number of Circles
10.1007/978-3-540-31843-9_29,Drawing Large Graphs with a Potential-Field-Based Multilevel Algorithm
10.1007/978-3-540-31843-9_41,Visual Navigation of Compound Graphs
10.1007/978-3-540-31843-9_42,Layout Volumes of the Hypercube
10.1007/978-3-540-31843-9_40,No-Three-in-Line-in-3D
10.1007/978-3-540-31843-9_45,A Compound Graph Layout Algorithm for Biological Pathways
10.1007/978-3-540-31843-9_46,Curvilinear Graph Drawing Using the Force-Directed Method
10.1007/978-3-540-31843-9_43,New Theoretical Bounds of Visibility Representation of Plane Graphs
10.1007/978-3-540-31843-9_44,Visualizing Large Graphs with Compound-Fisheye Views and Treemaps
10.1007/978-3-642-18469-7_2,Monotone Drawings of Graphs
10.1007/978-3-642-18469-7_1,On the Size of Graphs That Admit Polyline Drawings with Few Bends and Crossing Angles
10.1007/978-3-642-18469-7_4,On a Tree and a Path with No Geometric Simultaneous Embedding
10.1007/978-3-642-18469-7_3,Upward Geometric Graph Embeddings into Point Sets
10.1007/978-3-642-18469-7_6,Maximizing the Total Resolution of Graphs
10.1007/978-3-642-18469-7_5,Difference Map Readability for Dynamic Graphs
10.1007/978-3-642-18469-7_8,An Experimental Evaluation of Multilevel Layout Methods
10.1007/978-3-642-18469-7_7,Plane Drawings of Queue and Deque Graphs
10.1007/978-3-642-18469-7_9,Orthogonal Graph Drawing with Flexibility Constraints
10.1007/978-3-540-31843-9_38,3D Visualization of Semantic Metadata Models and Ontologies
10.1007/978-3-540-31843-9_39,A Note on the Self-similarity of Some Orthogonal Drawings
10.1007/978-3-540-31843-9_36,New Exact Results and Bounds for Bipartite Crossing Numbers of Meshes
10.1007/978-3-540-31843-9_37,Drawing Pfaffian Graphs
10.1007/11618058_33,Complexity Results for Three-Dimensional Orthogonal Graph Drawing
10.1007/978-3-662-45803-7_39,Increasing-Chord Graphs On Point Sets
10.1007/11618058_32,Applications of Parameterized st-Orientations in Graph Drawing Algorithms
10.1007/978-3-662-45803-7_38,MapSets: Visualizing Embedded and Clustered Graphs
10.1007/11618058_31,Drawing Graphs Using Modular Decomposition
10.1007/978-3-662-45803-7_37,A New Perspective on Clustered Planarity as a Combinatorial Embedding Problem
10.1007/11618058_30,Crossing Number of Toroidal Graphs
10.1007/978-3-662-45803-7_36,Clustered Planarity Testing Revisited
10.1007/3-540-45848-4_53,Industrial Plant Drawer
10.1007/3-540-45848-4_52,AGD: A Library of Algorithms for Graph Drawing
10.1007/3-540-45848-4_51,Planarity Testing of Graphs on Base of a Spring Model
10.1007/3-540-45848-4_50,Knowledge Index Manager
10.1007/3-540-45848-4_57,Graphviz〞 Open Source Graph Drawing Tools
10.1007/3-540-45848-4_56,ViSta
10.1007/3-540-45848-4_55,GLIDE
10.1007/3-540-45848-4_54,Pajek〞 Analysis and Visualization of Large Networks
10.1007/3-540-45848-4_59,GraphML Progress Report Structural Layer Proposal
10.1007/3-540-45848-4_58,Exchanging Graphs with GXL
10.1007/978-3-662-45803-7_42,Graph Drawing Contest Report
10.1007/978-3-662-45803-7_41,On Monotone Drawings of Trees
10.1007/11618058_39,Proper and Planar Drawings of Graphs on Three Layers
10.1007/978-3-662-45803-7_40,On Self-Approaching and Increasing-Chord Drawings of 3-Connected Planar Graphs
10.1007/11618058_38,"Parallel-Redrawing Mechanisms, Pseudo-Triangulations and Kinetic Planar Graphs"
10.1007/11618058_37,No-bend Orthogonal Drawings of Series-Parallel Graphs
10.1007/11618058_36,Minimum Depth Graph Embeddings and Quality of the Drawings: An Experimental Analysis
10.1007/11618058_35,Odd Crossing Number Is Not Crossing Number
10.1007/11618058_34,On Extending a Partial Straight-Line Drawing
10.1007/11618058_44,Drawing Clustered Graphs in Three Dimensions
10.1007/978-3-662-45803-7_28,Planar Octilinear Drawings with One Bend Per Edge
10.1007/11618058_43,WhatsOnWeb: Using Graph Drawing to Search the Web
10.1007/978-3-662-45803-7_27,Stress-Minimizing Orthogonal Layout of Data Flow Diagrams with Ports
10.1007/11618058_42,GEOMI: GEOmetry for Maximum Insight
10.1007/978-3-662-45803-7_26,Trade-Offs in Planar Polyline Drawings
10.1007/11618058_41,An Application of Well-Orderly Trees in Graph Drawing
10.1007/978-3-662-45803-7_25,Morphing Schnyder Drawings of Planar Triangulations
10.1007/11618058_40,Incremental Connector Routing
10.1007/978-3-662-45803-7_29,On the Complexity of HV-rectilinear Planarity Testing
10.1007/3-540-45848-4_42,yFiles: Visualization and Automatic Layout of Graphs
10.1007/3-540-45848-4_41,Drawing Database Schemas with DBdraw
10.1007/3-540-45848-4_40,The Graph Drawing Server
10.1007/3-540-45848-4_46,Caesar Automatic Layout of UML Class Diagrams
10.1007/3-540-45848-4_45,JGraph〞 A Java Based System for Drawing Graphs and Running Graph Algorithms
10.1007/3-540-45848-4_44,Graph Visualization API Library for Application Builders
10.1007/3-540-45848-4_43,BioPath
10.1007/3-540-45848-4_49,SugiBib
10.1007/3-540-45848-4_48,Generating Schematic Cable Plans Using Springembedder Methods
10.1007/3-540-45848-4_47,Visone Software for Visual Social Network Analysis
10.1007/978-3-662-45803-7_31,Drawing Graphs within Restricted Area
10.1007/978-3-662-45803-7_30,Embedding Four-Directional Paths on Convex Point Sets
10.1007/11618058_49,MultiPlane: A New Framework for Drawing Graphs in Three Dimensions
10.1007/11618058_48,SDE: Graph Drawing Using Spectral Distance Embedding
10.1007/978-3-662-45803-7_35,Advances on Testing C-Planarity of Embedded Flat Clustered Graphs
10.1007/11618058_47,A New Method for Efficiently Generating Planar Graph Visibility Representations
10.1007/978-3-662-45803-7_34,Anchored Drawings of Planar Graphs
10.1007/11618058_46,D-Dupe: An Interactive Tool for Entity Resolution in Social Networks
10.1007/978-3-662-45803-7_33,Drawing Planar Graphs with Reduced Height
10.1007/11618058_45,BLer: A Boundary Labeller for Technical Drawings
10.1007/978-3-662-45803-7_32,Height-Preserving Transformations of Planar Graph Drawings
10.1007/11618058_55,Minimum Cycle Bases and Surface Reconstruction
10.1007/978-3-662-45803-7_17,On the Recognition of Fan-Planar and Maximal Outer-Fan-Planar Graphs
10.1007/11618058_54,Graph-Drawing Contest Report
10.1007/978-3-662-45803-7_16,Fan-Planar Graphs: Combinatorial Properties and Complexity Results
10.1007/11618058_53,Network Analysis and Visualisation
10.1007/978-3-662-45803-7_15,Drawing Outer 1-planar Graphs with Few Slopes
10.1007/11618058_52,Mixed Upward Planarization 每 Fast and Robust
10.1007/978-3-662-45803-7_14,Bitonic st-orderings of Biconnected Planar Graphs
10.1007/11618058_51,On Straightening Low-Diameter Unit Trees
10.1007/11618058_50,Visualizing Graphs as Trees: Plant a Seed and Watch it Grow
10.1007/978-3-662-45803-7_19,A Crossing Lemma for the Pair-Crossing Number
10.1007/978-3-662-45803-7_18,Crossing Minimization for 1-page and 2-page Drawings of Graphs with Bounded Treewidth
10.1007/978-3-540-24595-7_13,A Framework for User-Grouped Circular Drawings
10.1007/978-3-540-24595-7_12,Area-Efficient Drawings of Outerplanar Graphs
10.1007/978-3-540-24595-7_11,GoVisual for CASE Tools Borland Together ControlCenter and Gentleware Poseidon 每 System Demonstration
